Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Chicken Curry,bd0e970348fd3d0bbb878201f9e6fd93,129.59,518.35,0.0028,8.2500,33,0.0020,,3,0.3333,0.3333,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,36.65,146.60,0.0008,2.7500,11,0.0007,,2,0.5000,0.0000,2025-06-30,2025-07-27,1027.70,5138.49,0.0373,78.2000,391.0000,0.0298,43.90,83.0000,0.3855,0.0361,-991.05,-0.9643,-4991.89,-0.9715,-0.0365,-0.9787,-75.4500,-0.9648,-380.0000,-0.9719,-0.0291,-0.9774,,,-81.0000,,0.1145,0.2969,-0.0361,-1.0000
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,845.97,3383.87,0.0183,55.5000,222,0.0136,52.42,69,0.2754,0.1159,2025-06-30,2025-07-27,670.76,3353.81,0.0244,47.2000,236.0000,0.0180,45.16,104.0000,0.2981,0.1346,175.21,0.2612,30.06,0.0090,-0.0060,-0.2479,8.3000,0.1758,-14.0000,-0.0593,-0.0044,-0.2438,7.26,0.1607,-35.0000,-0.3365,-0.0227,-0.0762,-0.0187,-0.1387
Spiced Cauli + Quinoa Bowl,1e8e6594ecff87b7c75c081bd791f412,397.40,1192.20,0.0065,31.3333,94,0.0057,,31,0.2581,0.1613,2025-06-30,2025-07-27,362.55,1812.75,0.0132,30.4000,152.0000,0.0116,38.23,72.0000,0.4028,0.2361,34.85,0.0961,-620.55,-0.3423,-0.0067,-0.5097,0.9333,0.0307,-58.0000,-0.3816,-0.0058,-0.5029,,,-41.0000,,-0.1447,-0.3593,-0.0748,-0.3169
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,50.00,200.00,0.0011,10.5000,42,0.0026,,7,0.2857,0.1429,2025-06-30,2025-07-27,39.06,195.28,0.0014,8.2000,41.0000,0.0031,,8.0000,0.2500,0.0000,10.94,0.2802,4.72,0.0242,-0.0003,-0.2366,2.3000,0.2805,1.0000,,-0.0006,-0.1766,,,-1.0000,,0.0357,0.1429,0.1429,0.0000
Cucumber Raita,b6aef261062648a464a75abf3a88d636,82.60,330.40,0.0018,29.0000,116,0.0071,49.21,21,0.2381,0.1905,2025-06-30,2025-07-27,60.21,301.05,0.0022,20.4000,102.0000,0.0078,,21.0000,0.1429,0.0000,22.39,0.3719,29.35,0.0975,-0.0004,-0.1819,8.6000,0.4216,14.0000,0.1373,-0.0007,-0.0858,,,0.0000,,0.0952,0.6667,0.1905,0.0000
Paneer Tikka Masala,6043fb3c3e1f6c4e9e5185337e926936,237.64,950.55,0.0051,16.7500,67,0.0041,,14,0.2143,0.2143,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Grain,343ce46c5489f43ec64a165e5323783f,35.74,142.95,0.0008,13.5000,54,0.0033,,12,0.0000,0.0000,2025-06-30,2025-07-27,29.36,146.80,0.0011,10.0000,50.0000,0.0038,,11.0000,0.5455,0.2727,6.38,0.2172,-3.85,-0.0262,-0.0003,-0.2741,3.5000,0.3500,4.0000,,-0.0005,-0.1319,,,1.0000,,-0.5455,-1.0000,-0.2727,-1.0000
Spicy Chicken Burrito,0f9c19dd694d3299d402c77c69c32f52,125.50,502.00,0.0027,8.2500,33,0.0020,,12,0.1667,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,144.60,578.40,0.0031,10.0000,40,0.0024,,13,0.3077,0.0000,2025-06-30,2025-07-27,514.75,2573.75,0.0187,41.4000,207.0000,0.0158,44.43,58.0000,0.4828,0.1207,-370.15,-0.7191,-1995.35,-0.7753,-0.0156,-0.8325,-31.4000,-0.7585,-167.0000,-0.8068,-0.0133,-0.8447,,,-45.0000,,-0.1751,-0.3626,-0.1207,-1.0000
Chicken Tikka Masala,267c2347c906518c838773cc8332e72e,2413.23,9652.94,0.0523,156.0000,624,0.0382,52.07,75,0.2267,0.0933,2025-06-30,2025-07-27,3181.20,15905.98,0.1155,225.4000,1127.0000,0.0858,42.85,259.0000,0.3359,0.0927,-767.96,-0.2414,-6253.04,-0.3931,-0.0633,-0.5476,-69.4000,-0.3079,-503.0000,-0.4463,-0.0476,-0.5549,9.22,0.2152,-184.0000,-0.7104,-0.1092,-0.3252,0.0007,0.0072
Mango Lassi,612a2d386edc9534c9b0c2d1c8cb2290,633.86,2535.44,0.0137,123.0000,492,0.0301,47.88,90,0.3111,0.1889,2025-06-30,2025-07-27,410.57,2052.87,0.0149,80.8000,404.0000,0.0307,44.49,99.0000,0.3434,0.1818,223.29,0.5438,482.57,0.2351,-0.0012,-0.0793,42.2000,0.5223,88.0000,0.2178,-0.0006,-0.0211,3.39,0.0763,-9.0000,,-0.0323,-0.0941,0.0071,0.0389
Olipop - Lemon Lime,d0f6c9eca03c9e01cc39075f92426076,46.72,186.86,0.0010,12.7500,51,0.0031,,8,0.0000,0.0000,2025-06-30,2025-07-27,24.93,124.65,0.0009,7.0000,35.0000,0.0027,,7.0000,0.1429,0.0000,21.79,0.8738,62.21,0.4991,0.0001,0.1175,5.7500,0.8214,16.0000,,0.0005,0.1716,,,1.0000,,-0.1429,-1.0000,0.0000,0.0000
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,73.50,294.02,0.0016,14.7500,59,0.0036,,12,0.0833,0.0000,2025-06-30,2025-07-27,37.53,187.66,0.0014,7.4000,37.0000,0.0028,,6.0000,0.1667,0.1667,35.97,0.9585,106.36,0.5668,0.0002,0.1679,7.3500,0.9932,22.0000,,0.0008,0.2816,,,6.0000,,-0.0833,-0.5000,-0.1667,-1.0000
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,81.60,326.40,0.0018,16.2500,65,0.0040,,9,0.1111,0.0000,2025-06-30,2025-07-27,85.53,427.63,0.0031,17.2000,86.0000,0.0065,,12.0000,0.5833,0.2500,-3.93,-0.0459,-101.23,-0.2367,-0.0013,-0.4310,-0.9500,-0.0552,-21.0000,,-0.0026,-0.3924,,,-3.0000,,-0.4722,-0.8095,-0.2500,-1.0000
Pick 2 Combo Plate,d12f9ec63617f8719dc1657b8e76514e,1112.50,4450.02,0.0241,68.0000,272,0.0166,46.34,78,0.2308,0.0641,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,37.19,148.75,0.0008,8.7500,35,0.0021,,12,0.5000,0.0833,2025-06-30,2025-07-27,6.04,30.19,0.0002,2.0000,10.0000,0.0008,,7.0000,0.2857,0.0000,31.15,5.1589,118.56,,0.0006,2.6728,6.7500,3.3750,25.0000,,0.0014,1.8134,,,5.0000,,0.2143,0.7500,0.0833,0.0000
That Fire Hot Sauce - Side,14e40e9f01921c00a883fd7cd5d5130f,3.88,15.50,0.0001,8.5000,34,0.0021,,6,0.1667,0.0000,2025-06-30,2025-07-27,13.33,66.65,0.0005,30.2000,151.0000,0.0115,31.52,15.0000,0.2000,0.0667,-9.46,-0.7093,-51.15,,-0.0004,-0.8266,-21.7000,-0.7185,-117.0000,-0.7748,-0.0094,-0.8190,,,-9.0000,,-0.0333,-0.1667,-0.0667,-1.0000
Coconut Veggie Curry,1db87b95359c565a71844665aa04df83,63.17,189.50,0.0010,4.6667,14,0.0009,,1,0.0000,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,673.34,2693.35,0.0146,49.0000,196,0.0120,61.07,20,0.1500,0.0500,2025-06-30,2025-07-27,799.58,3997.88,0.0290,62.8000,314.0000,0.0239,44.97,91.0000,0.4066,0.0549,-126.24,-0.1579,-1304.53,-0.3263,-0.0145,-0.4978,-13.8000,-0.2197,-118.0000,-0.3758,-0.0119,-0.4983,16.10,0.3581,-71.0000,,-0.2566,-0.6311,-0.0049,-0.0900
