Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Strawberry Lassi,6c09d93c3dca4c4768fd5830f10d2afb,570.79,2853.97,0.0025,109.6000,548,0.0050,44.32,203,0.3492,0.1270,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai - Oat Milk,d1d6cda5119313e3fecde5947361fe9f,272.01,1360.05,0.0012,62.8000,314,0.0029,37.45,126,0.2121,0.0303,2024-12-30,2025-08-04,197.42,987.11,0.0009,44.8000,224.0000,0.0021,44.05,48.0000,0.4167,0.1042,74.59,0.3778,372.94,0.3778,0.0003,0.3055,18.0000,0.4018,90.0000,0.4018,0.0008,0.3676,-6.60,-0.1498,78.0000,,-0.2045,-0.4909,-0.0739,-0.7091
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,287.06,574.13,0.0005,96.0000,192,0.0018,36.14,91,0.3704,0.0370,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,2855.11,14275.56,0.0123,534.8000,2674,0.0245,35.03,875,0.3923,0.1672,2024-12-30,2025-08-04,2085.74,10428.68,0.0095,391.8000,1959.0000,0.0184,37.02,437.0000,0.3730,0.1625,769.38,0.3689,3846.88,0.3689,0.0028,0.2971,143.0000,0.3650,715.0000,0.3650,0.0061,0.3317,-1.99,-0.0537,438.0000,1.0023,0.0193,0.0517,0.0047,0.0291
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,2456.77,12283.83,0.0106,176.0000,880,0.0081,50.64,124,0.3065,0.0968,2024-12-30,2025-08-04,981.02,4905.10,0.0045,74.6000,373.0000,0.0035,52.06,79.0000,0.5570,0.1266,1475.75,1.5043,7378.73,1.5043,0.0061,1.3729,101.4000,1.3592,507.0000,1.3592,0.0046,1.3019,-1.42,-0.0273,45.0000,,-0.2505,-0.4498,-0.0298,-0.2355
Spicy Chili Chicken Bowl,f69c4f89d02ed8113b95711324f0c441,24014.47,120072.37,0.1037,1653.8000,8269,0.0757,38.93,1766,0.3795,0.1947,2024-12-30,2025-08-04,24413.13,122065.63,0.1112,1784.2000,8921.0000,0.0837,38.16,1211.0000,0.3410,0.1883,-398.65,-0.0163,-1993.26,-0.0163,-0.0076,-0.0679,-130.4000,-0.0731,-652.0000,-0.0731,-0.0080,-0.0957,0.77,0.0202,555.0000,0.4583,0.0385,0.1129,0.0064,0.0342
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,1065.46,5327.29,0.0046,200.0000,1000,0.0092,41.87,351,0.4144,0.0901,2024-12-30,2025-08-04,691.94,3459.69,0.0032,121.6000,608.0000,0.0057,38.67,122.0000,0.4098,0.1803,373.52,0.5398,1867.60,0.5398,0.0014,0.4590,78.4000,0.6447,392.0000,0.6447,0.0035,0.6047,3.20,0.0828,229.0000,1.8770,0.0046,0.0112,-0.0902,-0.5004
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,191.86,959.31,0.0008,41.0000,205,0.0019,51.22,61,0.5417,0.1250,2024-12-30,2025-08-04,145.15,725.73,0.0007,30.0000,150.0000,0.0014,45.13,23.0000,0.4783,0.1739,46.72,0.3219,233.58,0.3219,0.0002,0.2525,11.0000,0.3667,55.0000,0.3667,0.0005,0.3331,6.09,0.1350,38.0000,,0.0634,0.1326,-0.0489,-0.2812
Sweet Cardamom Yogurt,ce73831089aa1e7767f4bbc5146ccd31,606.77,3033.86,0.0026,184.2000,921,0.0084,42.05,241,0.3500,0.1100,2024-12-30,2025-08-04,459.06,2295.30,0.0021,150.2000,751.0000,0.0070,44.19,123.0000,0.3333,0.0325,147.71,0.3218,738.56,0.3218,0.0005,0.2524,34.0000,0.2264,170.0000,0.2264,0.0014,0.1965,-2.14,-0.0485,118.0000,0.9594,0.0167,0.0500,0.0775,2.3825
Cucumber Raita,b6aef261062648a464a75abf3a88d636,508.95,2544.75,0.0022,182.6000,913,0.0084,46.75,279,0.3786,0.0971,2024-12-30,2025-08-04,426.73,2133.67,0.0019,145.0000,725.0000,0.0068,45.33,144.0000,0.3194,0.1250,82.22,0.1927,411.08,0.1927,0.0003,0.1301,37.6000,0.2593,188.0000,0.2593,0.0016,0.2285,1.41,0.0311,135.0000,0.9375,0.0592,0.1853,-0.0279,-0.2233
