Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Territory Sesame Peanut Noodle,4b6d98a10d0fb75d660e034ff484a476,56.34,56.34,0.0002,9.0000,9,0.0002,,0,0.0000,0.0000,2025-05-26,2025-06-29,194.06,194.06,0.0005,31.0000,31.0000,0.0007,,0.0000,0.0000,0.0000,-137.72,-0.7097,-137.72,-0.7097,-0.0004,-0.7117,-22.0000,-0.7097,-22.0000,,-0.0005,-0.6940,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,41.82,209.10,0.0006,8.6000,43,0.0011,,39,0.0769,0.0000,2025-05-26,2025-06-29,67.32,336.60,0.0009,13.6000,68.0000,0.0016,,41.0000,0.2439,0.0732,-25.50,-0.3788,-127.50,-0.3788,-0.0004,-0.3831,-5.0000,-0.3676,-25.0000,,-0.0005,-0.3329,,,-2.0000,,-0.1670,-0.6846,-0.0732,-1.0000
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,250.14,1250.70,0.0034,91.6000,458,0.0116,18.67,358,0.0810,0.0196,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,219.00,1095.00,0.0030,46.0000,230,0.0058,22.75,167,0.1078,0.0240,2025-05-26,2025-06-29,157.17,785.87,0.0022,36.4000,182.0000,0.0044,20.63,142.0000,0.0915,0.0211,61.83,0.3934,309.13,0.3934,0.0008,0.3837,9.6000,0.2637,48.0000,0.2637,0.0015,0.3336,2.11,0.1024,25.0000,0.1761,0.0162,0.1773,0.0028,0.1337
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,26.52,132.60,0.0004,5.2000,26,0.0007,,22,0.1818,0.0455,2025-05-26,2025-06-29,20.71,82.86,0.0002,4.7500,19.0000,0.0005,,15.0000,0.1333,0.0000,5.80,0.2802,49.74,,0.0001,0.5892,0.4500,0.0947,7.0000,,0.0002,0.4420,,,7.0000,,0.0485,0.3636,0.0455,0.0000
Cureate Tandoori Paneer Bowl,3376356ad89c194dbaf7fc90d8adb7a5,344.70,344.70,0.0009,30.0000,30,0.0008,,0,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrl Lime,a55d75d57ecf4b0fac12d656a25c4d27,10.00,10.00,0.0000,2.0000,2,0.0001,,2,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Kofta Korma,862bcdd46106196d86cd2e9bbbd63bc2,33.00,33.00,0.0001,2.0000,2,0.0001,,2,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,225.00,1125.00,0.0031,98.2000,491,0.0125,55.53,352,0.1562,0.0597,2025-05-26,2025-06-29,290.34,1451.70,0.0040,134.6000,673.0000,0.0162,76.35,407.0000,0.1646,0.0590,-65.34,-0.2250,-326.70,-0.2250,-0.0009,-0.2304,-36.4000,-0.2704,-182.0000,-0.2704,-0.0037,-0.2302,-20.82,-0.2727,-55.0000,-0.1351,-0.0084,-0.0508,0.0007,0.0117
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,153.40,767.00,0.0021,54.4000,272,0.0069,22.93,242,0.0950,0.0289,2025-05-26,2025-06-29,182.81,914.06,0.0025,64.2000,321.0000,0.0077,23.77,286.0000,0.1608,0.0455,-29.41,-0.1609,-147.06,-0.1609,-0.0004,-0.1667,-9.8000,-0.1526,-49.0000,-0.1526,-0.0008,-0.1059,-0.84,-0.0354,-44.0000,-0.1538,-0.0658,-0.4091,-0.0165,-0.3636
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,238.70,1193.50,0.0033,44.6000,223,0.0057,25.29,195,0.1282,0.0462,2025-05-26,2025-06-29,253.27,1266.35,0.0035,51.0000,255.0000,0.0061,21.71,228.0000,0.1404,0.0175,-14.57,-0.0575,-72.85,-0.0575,-0.0002,-0.0641,-6.4000,-0.1255,-32.0000,-0.1255,-0.0005,-0.0773,3.57,0.1646,-33.0000,-0.1447,-0.0121,-0.0865,0.0286,1.6308
Aramark Tandoori Paneer Bowl,5632e59bde719e60562d9ae604b2d427,1188.95,1188.95,0.0033,79.0000,79,0.0020,,0,0.0000,0.0000,2025-05-26,2025-06-29,2620.44,2620.44,0.0072,174.0000,174.0000,0.0042,,0.0000,0.0000,0.0000,-1431.49,-0.5463,-1431.49,-0.5463,-0.0040,-0.5494,-95.0000,-0.5460,-95.0000,-0.5460,-0.0022,-0.5210,,,0.0000,,0.0000,0.0000,0.0000,0.0000
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,90.00,90.00,0.0002,10.0000,10,0.0003,,9,0.1111,0.0000,2025-05-26,2025-06-29,35.55,142.20,0.0004,4.0000,16.0000,0.0004,,16.0000,0.1875,0.0000,54.45,1.5316,-52.20,-0.3671,-0.0001,-0.3715,6.0000,1.5000,-6.0000,,-0.0001,-0.3403,,,-7.0000,,-0.0764,-0.4074,0.0000,0.0000
Chicken Curry,bd0e970348fd3d0bbb878201f9e6fd93,7.25,14.50,0.0000,1.0000,2,0.0001,,1,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
