Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Fooda Chicken Curry Bowl,d0496ae63ea7b01cfe23225e5a1fbb82,21.33,42.66,0.0000,1.5000,3,0.0000,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,11605.68,58028.41,0.0281,855.8000,4279,0.0189,24.82,3434,0.1811,0.0599,2025-01-02,2025-08-25,12975.55,64877.76,0.0296,1019.2000,5096.0000,0.0200,23.99,4042.0000,0.1957,0.0554,-1369.87,-0.1056,-6849.35,-0.1056,-0.0015,-0.0502,-163.4000,-0.1603,-817.0000,-0.1603,-0.0011,-0.0533,0.83,0.0346,-608.0000,-0.1504,-0.0146,-0.0746,0.0045,0.0814
Strawberry Lassi,6c09d93c3dca4c4768fd5830f10d2afb,2479.17,12395.84,0.0060,523.4000,2617,0.0116,21.84,1973,0.2651,0.0777,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Grain,343ce46c5489f43ec64a165e5323783f,175.14,875.70,0.0004,59.6000,298,0.0013,17.03,241,0.2482,0.0657,2025-01-02,2025-08-25,282.60,1413.01,0.0006,97.4000,487.0000,0.0019,16.94,322.0000,0.2981,0.1087,-107.46,-0.3803,-537.31,-0.3803,-0.0002,-0.3419,-37.8000,-0.3881,-189.0000,-0.3881,-0.0006,-0.3101,0.09,0.0051,-81.0000,-0.2516,-0.0500,-0.1676,-0.0430,-0.3956
Gift Card,e9baacf6e24fcad141d621243a818dcb,136.00,680.00,0.0003,4.4000,22,0.0001,,20,0.1667,0.0833,2025-01-02,2025-08-25,158.00,790.00,0.0004,4.4000,22.0000,0.0001,,17.0000,0.1765,0.0000,-22.00,-0.1392,-110.00,-0.1392,-0.0000,-0.0860,0.0000,0.0000,0.0000,,0.0000,0.1279,,,3.0000,,-0.0098,-0.0556,0.0833,0.0000
LaCroix - Lime,faf62b12fed0aaa5f2949360cbaacec8,79.80,79.80,0.0000,28.0000,28,0.0001,,28,0.1429,0.0000,2025-01-02,2025-08-25,54.06,216.26,0.0001,19.5000,78.0000,0.0003,,70.0000,0.2571,0.0286,25.74,0.4760,-136.46,-0.6310,-0.0001,-0.6082,8.5000,0.4359,-50.0000,,-0.0002,-0.5948,,,-42.0000,,-0.1143,-0.4444,-0.0286,-1.0000
Nutrl Strawberry,6b78379f1dc8624cf4c9e5298481fce6,80.00,80.00,0.0000,17.0000,17,0.0001,,11,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guest Services BYO Paneer Bowl,d2de8bbb76a8397561fe930e2ae89d4f,1055.39,1055.39,0.0005,67.0000,67,0.0003,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Marriott Extra Chicken,6af59d4f9e1522a48fc4d6daeb9f8b03,25.62,25.62,0.0000,7.0000,7,0.0000,,0,0.0000,0.0000,2025-01-02,2025-08-25,18.30,18.30,0.0000,5.0000,5.0000,0.0000,,0.0000,0.0000,0.0000,7.32,0.4000,7.32,,0.0000,0.4867,2.0000,0.4000,2.0000,,0.0000,0.5500,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,75663.76,378318.79,0.1833,5832.6000,29163,0.1291,19.83,17912,0.2392,0.1579,2025-01-02,2025-08-25,104358.66,521793.32,0.2380,8471.2000,42356.0000,0.1663,19.08,24603.0000,0.2242,0.1523,-28694.91,-0.2750,-143474.53,-0.2750,-0.0548,-0.2301,-2638.6000,-0.3115,-13193.0000,-0.3115,-0.0372,-0.2237,0.75,0.0393,-6691.0000,-0.2720,0.0150,0.0667,0.0056,0.0371
