"item_name_updated","period","avg_cost"
"Homemade Juice","P01-2026",
"Wild Kombucha - Mango Peach","P01-2026",2.4800
"Olipop - Lemon Lime","P01-2026",1.9300
"Olipop - Root Beer","P01-2026",2.1600
"LaCroix - Lime","P01-2026",0.6100
"Spindrift - Lemon","P01-2026",1.1200
"Open Water Sparkling Water","P01-2026",1.1700
"Iced Oat Masala Chai","P01-2026",1.8100
"Wild Kombucha - Ginger","P01-2026",2.4800
"Maine Root Fountain Soda","P01-2026",0.3600
"Mango Lassi","P01-2026",1.5100
"Olipop Cola","P01-2026",1.9500
"Icaro - Spearmint Yerba Mate","P01-2026",2.1200
"Open Water Still Water","P01-2026",1.1700
"Spindrift - Grapefruit","P01-2026",1.1200
"Fresh Young Coconut","P01-2026",3.3300
"LaCroix - Grapefruit","P01-2026",0.6200
"Strawberry Lassi","P01-2026",1.3200
"Mont Gravet Rose-gl","P01-2026",1.6800
"Borsao Granache-gl","P01-2026",1.6500
"Indaba Sauvignon Blanc-gl","P01-2026",1.5500
"Indaba Sauvignon Blanc Bottle","P01-2026",6.5400
"Mont Gravet Rose Bottle","P01-2026",7.1000
"Spiked Coconut","P01-2026",4.2000
"Spiked Lassi","P01-2026",1.2400
"Mumbai Mule","P01-2026",1.8800
"Masala Chai - Oat Milk","P01-2026",1.8300
"Masala Chai","P01-2026",1.5000
"BYO Grain Bowl","P01-2026",0.6100
"BYO Greens + Grains Bowl","P01-2026",0.6100
"BYO Salad Bowl","P01-2026",0.6100
"Kids Meal","P01-2026",1.0500
"Chicken Tikka Bowl","P01-2026",0.6100
"Paneer Tikka Bowl","P01-2026",0.6100
"Chicken Tikka + Avocado Salad","P01-2026",0.6100
"Spicy Chili Chicken Bowl","P01-2026",0.6100
"Cauliflower + Quinoa Bowl","P01-2026",0.6100
"Lamb Kebab Bowl","P01-2026",0.6100
"Chicken Tikka Masala","P01-2026",3.1300
"Aloo Gobhi","P01-2026",2.1400
"Saag Paneer","P01-2026",2.7000
"Paneer Butter Masala","P01-2026",3.6700
"Butter Chicken","P01-2026",3.2300
"Tandoori Paneer Burrito","P01-2026",1.0300
"BYO Indian Burrito","P01-2026",1.0300
"Butter Chicken Burrito","P01-2026",1.0300
"Masala Chai Cookies","P01-2026",0.3300
"Indian Yogurt","P01-2026",
"Open Water Sparkling Water","P01-2026",1.1700
"Open Water Still Water","P01-2026",1.1700
"Spindrift - Lemon","P01-2026",1.1200
"Iced Oat Masala Chai","P01-2026",1.8100
"Mango Lassi","P01-2026",1.5100
