"period","menu","item_name","item_name_updated","menu_group","category_1","category_2","avg_cost","loaded_at"
"P01-2026","IN-HOUSE","Homemade Juice","Homemade Juice","Cold Drinks","Homemade Juice","Homemade Juice",,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Wild Kombucha - Mango Peach","Wild Kombucha - Mango Peach","Cold Drinks","Kombucha","Kombucha",2.4800,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Olipop - Lemon Lime","Olipop - Lemon Lime","Cold Drinks","Olipop","Olipop",1.9300,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Olipop - Root Beer","Olipop - Root Beer","Cold Drinks","Olipop","Olipop",2.1600,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","LaCroix - Lime","LaCroix - Lime","Cold Drinks","LaCroix","LaCroix",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Spindrift - Lemon","Spindrift - Lemon","Cold Drinks","Spindrift","Spindrift",1.1200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Open Water Sparkling Water","Open Water Sparkling Water","Cold Drinks","Open Water Sparkling Water","Water",1.1700,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Iced Oat Masala Chai","Iced Oat Masala Chai","Cold Drinks","Masala Chai","Masala Chai",1.8100,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Wild Kombucha - Ginger","Wild Kombucha - Ginger","Cold Drinks","Kombucha","Kombucha",2.4800,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Maine Root Fountain Soda - In House","Maine Root Fountain Soda","Cold Drinks","Maine Root Fountain Soda","Canned Soda",0.3600,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Mango Lassi","Mango Lassi","Cold Drinks","Mango Lassi","Mango Lassi",1.5100,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Olipop Cola","Olipop Cola","Cold Drinks","Olipop","Olipop",1.9500,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate","Cold Drinks","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate",2.1200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Open Water Still Water","Open Water Still Water","Cold Drinks","Open Water Still Water","Water",1.1700,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Spindrift - Grapefruit","Spindrift - Grapefruit","Cold Drinks","Spindrift","Spindrift",1.1200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Fresh Young Coconut","Fresh Young Coconut","Cold Drinks","Fresh Young Coconut","Fresh Young Coconut",3.3300,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","LaCroix - Grapefruit","LaCroix - Grapefruit","Cold Drinks","LaCroix","LaCroix",0.6200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Strawberry Lassi","Strawberry Lassi","Cold Drinks","Strawberry Lassi","Strawberry Lassi",1.3200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Mont Gravet Rose-gl","Mont Gravet Rose-gl","Wine","Mont Gravet Rose-gl","Mont Gravet Rose-gl",1.6800,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Borsao Granache-gl","Borsao Granache-gl","Wine","Borsao Granache-gl","Borsao Granache-gl",1.6500,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Indaba Sauvignon Blanc-gl","Indaba Sauvignon Blanc-gl","Wine","Indaba Sauvignon Blanc-gl","Indaba Sauvignon Blanc-gl",1.5500,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Indaba Sauvignon Blanc Bottle","Indaba Sauvignon Blanc Bottle","Wine","Indaba Sauvignon Blanc Bottle","Indaba Sauvignon Blanc Bottle",6.5400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Mont Gravet Rose Bottle","Mont Gravet Rose Bottle","Wine","Mont Gravet Rose Bottle","Mont Gravet Rose Bottle",7.1000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Spiked Coconut","Spiked Coconut","Liquor","Spiked Coconut","Spiked Coconut",4.2000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Spiked Lassi","Spiked Lassi","Liquor","Spiked Lassi","Spiked Lassi",1.2400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Mumbai Mule","Mumbai Mule","Liquor","Mumbai Mule","Mumbai Mule",1.8800,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Masala Chai - Oat Milk","Masala Chai - Oat Milk","Hot Drinks","Masala Chai","Masala Chai",1.8300,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Masala Chai","Masala Chai","Hot Drinks","Masala Chai","Masala Chai",1.5000,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","BYO Grain Bowl","BYO Grain Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","BYO Greens + Grains Bowl","BYO Greens + Grains Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","BYO Salad Bowl","BYO Salad Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Kids Meal","Kids Meal","KIDS","Kids Meal","KIDS",1.0500,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Chicken Tikka Bowl","Chicken Tikka Bowl","BOWLS","Chicken Tikka Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Paneer Tikka Bowl","Paneer Tikka Bowl","BOWLS","Paneer Tikka Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Chicken Tikka + Avocado Salad","Chicken Tikka + Avocado Salad","BOWLS","Chicken Tikka + Avocado Salad","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Spicy Chili Chicken Bowl","Spicy Chili Chicken Bowl","BOWLS","Spicy Chili Chicken Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Cauliflower + Quinoa Bowl","Cauliflower + Quinoa Bowl","BOWLS","Cauliflower + Quinoa Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Lamb Kebab Bowl","Lamb Kebab Bowl","BOWLS","Lamb Kebab Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Chicken Tikka Masala","Chicken Tikka Masala","PLATES","Chicken Tikka Masala","Plates",3.1300,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Aloo Gobhi","Aloo Gobhi","PLATES","Aloo Gobhi","Plates",2.1400,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Saag Paneer","Saag Paneer","PLATES","Saag Paneer","Plates",2.7000,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Paneer Butter Masala","Paneer Butter Masala","PLATES","Paneer Butter Masala","Plates",3.6700,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Butter Chicken","Butter Chicken","PLATES","Butter Chicken","Plates",3.2300,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Tandoori Paneer Burrito","Tandoori Paneer Burrito","BURRITOS","Tandoori Paneer Burrito","Burritos",1.0300,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","BYO Indian Burrito","BYO Indian Burrito","BURRITOS","BYO Indian Burrito","Burritos",1.0300,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Butter Chicken Burrito","Butter Chicken Burrito","BURRITOS","Butter Chicken Burrito","Burritos",1.0300,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Masala Chai Cookies","Masala Chai Cookies","SWEETS","Masala Chai Cookies","Masala Chai Cookies",0.3300,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Indian Yogurt","Indian Yogurt","SWEETS","Indian Yogurt","Indian Yogurt",,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Open Water Sparkling Water","Open Water Sparkling Water","DRINKS","Open Water Sparkling Water","Water",1.1700,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Open Water Still Water","Open Water Still Water","DRINKS","Open Water Still Water","Water",1.1700,"2026-06-24 10:52:38.141736+00"
