"period","recipe_name","clean_name","portion_unit","cogs_account","total_cost","cost_per_portion","loaded_at"
"P01-2026","BATCH Basmati Rice","BATCH Basmati Rice","Inactive","COGS - Prepped Food",8.0514,8.0514,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Beans Green Blanched","BATCH Beans Green Blanched","Inactive","COGS - Prepped Food",58.9028,58.9028,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Beef Cooked","BATCH Beef Cooked","Inactive","COGS - Meat",35.8368,2.9789,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Beef Marinated","BATCH Beef Marinated","Inactive","COGS - Meat",440.5685,440.5685,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Brussels Marinated","BATCH Brussels Marinated","Inactive","COGS - Produce",53.6844,5.3684,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cardamom Mint Julep","BATCH Cardamom Mint Julep","Inactive","COGS - Liquor",278.5746,1.6477,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Carrot Slaw","BATCH Carrot Slaw","Inactive","COGS - Prepped Food",12.5398,0.0392,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cauliflower + Potato","BATCH Cauliflower + Potato","Inactive","COGS - Prepped Food",5.3217,5.3217,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cauliflower + Potato Cooked","BATCH Cauliflower + Potato Cooked","Inactive","COGS - Prepped Food",5.4356,0.3997,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cherry Blossom Lassi Soft Serve","BATCH Cherry Blossom Lassi Soft Serve","Inactive","COGS - Prepped Food",42.2578,1.3205,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chicken Marination Sauce","BATCH Chicken Marination Sauce","Inactive","COGS - Prepped Food",60.7027,9.8224,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chicken Tikka Cooked","BATCH Chicken Tikka Cooked","Inactive","COGS - Poultry",1.7488,0.6858,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chicken Tikka Marinated","BATCH Chicken Tikka Marinated","Inactive","COGS - Poultry",131.4651,131.4651,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chickpeas Cooked","BATCH Chickpeas Cooked","Inactive","COGS - Prepped Food",7.4030,1.0576,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chocolate Chai Soft Serve","BATCH Chocolate Chai Soft Serve","Inactive","COGS - Prepped Food",21.5496,0.8418,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Coconut Ginger Sauce","BATCH Coconut Ginger Sauce","Inactive","COGS - Prepped Food",97.7777,0.2547,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Coriander Chili Chutney","BATCH Coriander Chili Chutney","Inactive","COGS - Prepped Food",73.1076,73.1076,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cranberry Chutney","BATCH Cranberry Chutney","Inactive","COGS - Prepped Food",56.3967,56.3967,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Eggplant Cooked","BATCH Eggplant Cooked","Inactive","COGS - Produce",4.0861,0.3756,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Eggplant Marinated","BATCH Eggplant Marinated","Inactive","COGS - Produce",79.7458,79.7458,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Gin + Tonic Masala Syrup","BATCH Gin + Tonic Masala Syrup","Inactive","COGS - N/A Beverage",8.9720,8.9720,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Harvest Vegetables","BATCH Harvest Vegetables","Inactive","COGS - Produce",14.1682,6.3534,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Harvest Vegetables Cooked","BATCH Harvest Vegetables Cooked","Inactive","COGS - Produce",8.0904,8.0904,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH House Vinaigrette","BATCH House Vinaigrette","Inactive","COGS - Prepped Food",6.5153,0.0905,"2026-06-24 10:52:30.752709+00"
